,Photovoltaik_ist,Photovoltaik_ziel,Wind auf See_ist,Wind auf See_ziel,Wind an Land_ist,Wind an Land_ziel,Wasser_ist,Wasser_ziel,Biomasse_ist,Biomasse_ziel,Sonst. EE_ist,Sonst. EE_ziel
1990-01-01,0.002,,0.0,,0.055,,3.982,,0.129,,0.0,
1991-01-01,0.002,,0.0,,0.106,,4.033,,0.135,,0.0,
1992-01-01,0.006,,0.0,,0.174,,4.049,,0.139,,0.0,
1993-01-01,0.009,,0.0,,0.326,,4.117,,0.174,,0.0,
1994-01-01,0.012,,0.0,,0.618,,4.211,,0.208,,0.0,
1995-01-01,0.018,,0.0,,1.121,,4.348,,0.227,,0.0,
1996-01-01,0.028,,0.0,,1.549,,4.305,,0.261,,0.0,
1997-01-01,0.042,,0.0,,2.089,,4.296,,0.301,,0.0,
1998-01-01,0.054,,0.0,,2.877,,4.369,,0.461,,0.0,
1999-01-01,0.07,,0.0,,4.435,,4.547,,0.548,,0.0,
2000-01-01,0.114,,0.0,,6.097,,4.831,,0.703,,0.0,
2001-01-01,0.176,,0.0,,8.738,,4.831,,0.827,,0.0,
2002-01-01,0.296,,0.0,,11.976,,4.937,,1.03,,0.0,
2003-01-01,0.435,,0.0,,14.381,,4.953,,1.428,,0.0,
2004-01-01,1.105,,0.0,,16.419,,5.186,,1.687,,0.0,
2005-01-01,2.056,,0.0,,18.248,,5.21,,2.352,,0.0,
2006-01-01,2.899,,0.0,,20.474,,5.193,,3.01,,0.0,
2007-01-01,4.17,,0.0,,22.116,,5.137,,3.392,,0.003,
2008-01-01,6.12,,0.0,,22.794,,5.164,,3.687,,0.003,
2009-01-01,10.566,,0.035,,25.697,,5.34,,4.873,,0.008,
2010-01-01,18.006,,0.08,,26.823,,5.407,,5.46,,0.008,
2011-01-01,25.916,,0.188,,28.524,,5.625,,6.419,,0.008,
2012-01-01,34.077,,0.268,,30.711,,5.607,,6.753,,0.019,
2013-01-01,36.71,,0.508,,32.969,,5.59,,7.036,,0.03,
2014-01-01,37.9,,0.994,,37.62,,5.58,,7.26,,0.033,
2015-01-01,39.224,,3.283,,41.297,,5.589,,7.467,,0.034,
2016-01-01,40.679,,4.152,,45.283,,5.629,,7.681,,0.038,
2017-01-01,42.293,,5.406,,50.174,,5.627,,7.978,,0.038,
2018-01-01,45.158,,6.393,,52.328,,5.347,,8.599,,0.042,
2019-01-01,48.864,,7.555,,53.187,,5.396,,8.911,,0.047,
2020-01-01,54.381,,7.858,,54.256,,5.454,,9.296,,0.047,
2021-01-01,60.249594709000014,,7.874018,,55.884416087,,5.402779568000002,,9.38,,0.054,
2022-01-01,67.82579371400001,,8.216018,,57.985189076999994,,5.516847668000002,,9.437,,0.059,
2023-01-01,83.28155729000001,,8.473193,,60.96750096699999,,5.5185326690000025,,9.537,,0.057,
2024-01-01,100.77131759400001,,9.215093,,63.521911647,,5.5218832990000015,,9.129268999999999,,0.35280433000000005,
2025-01-01,118.2,,9.733493,,68.111950947,,5.5225046990000015,,9.153631265,,0.3560813300000001,
2026-01-01,,128.0,,13.7867944,,84.0,,5.5225046990000015,,9.153631265,,0.3560813300000001
2027-01-01,,150.0,,17.8400958,,91.5,,5.5225046990000015,,9.153631265,,0.3560813300000001
2028-01-01,,172.0,,21.893397200000003,,99.0,,5.5225046990000015,,9.153631265,,0.3560813300000001
2029-01-01,,193.5,,25.9466986,,107.0,,5.5225046990000015,,9.153631265,,0.3560813300000001
2030-01-01,,215.0,,30.0,,115.0,,5.5225046990000015,,9.153631265,,0.3560813300000001
2031-01-01,,233.8,,32.0,,123.4,,5.5225046990000015,,9.153631265,,0.3560813300000001
2032-01-01,,252.6,,34.0,,131.8,,5.5225046990000015,,9.153631265,,0.3560813300000001
2033-01-01,,271.4,,36.0,,140.2,,5.5225046990000015,,9.153631265,,0.3560813300000001
2034-01-01,,290.2,,38.0,,148.6,,5.5225046990000015,,9.153631265,,0.3560813300000001
2035-01-01,,309.0,,40.0,,157.0,,5.5225046990000015,,9.153631265,,0.3560813300000001
2036-01-01,,327.2,,43.0,,157.6,,5.5225046990000015,,9.153631265,,0.3560813300000001
2037-01-01,,345.4,,46.0,,158.2,,5.5225046990000015,,9.153631265,,0.3560813300000001
2038-01-01,,363.6,,49.0,,158.8,,5.5225046990000015,,9.153631265,,0.3560813300000001
2039-01-01,,381.8,,52.0,,159.4,,5.5225046990000015,,9.153631265,,0.3560813300000001
2040-01-01,,400.0,,55.0,,160.0,,5.5225046990000015,,9.153631265,,0.3560813300000001
2041-01-01,,400.0,,58.0,,160.0,,5.5225046990000015,,9.153631265,,0.3560813300000001
2042-01-01,,400.0,,61.0,,160.0,,5.5225046990000015,,9.153631265,,0.3560813300000001
2043-01-01,,400.0,,64.0,,160.0,,5.5225046990000015,,9.153631265,,0.3560813300000001
2044-01-01,,400.0,,67.0,,160.0,,5.5225046990000015,,9.153631265,,0.3560813300000001
2045-01-01,,400.0,,70.0,,160.0,,5.5225046990000015,,9.153631265,,0.3560813300000001
