,Durchschnitt 10 Jahre,2026,2025,2024
Jan,1.0883781598386257,1.950293453027857,2.0014960321257793,1.7334865662604784
Feb,2.29963728422729,3.017850553444987,3.700152303685246,2.698109538587648
Mrz,4.617428825796693,8.67134596266627,8.453255887750629,5.866764370216299
Apr,6.390360596812872,11.948249194599285,10.975358548490007,7.98424541963871
Mai,7.6424118685767635,12.898916642610484,12.50203231495683,10.347036370810804
Jun,8.067675027931099,13.227699151741627,12.869891513570694,10.598712765740293
Jul,7.743414125928115,14.23291025419846,11.034360279033455,11.131444980247696
Aug,7.17983380088558,12.911111061084357,11.747098719448674,10.67492428940714
Sep,5.489603936804247,,7.804315037365589,7.340347330676881
Okt,3.231166933410768,,4.408065951016148,4.231177383091536
Nov,1.5367437821210896,,2.6676260071571076,1.8137478140537886
Dez,0.9263515675548595,,1.8169204835303983,1.2254631920181969
